                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.68211,                 1.0113,                0.61723,                  1.072,                0.97882,                0.97098,                0.99026,                0.84372,                0.97882,                0.97098,                0.98902,                0.79613,                0.61344,                0.95368,                0.61104,                0.99382,             0.00027365,             0.00027365,             0.00027365
                     52,                0.66112,                0.99503,                0.61284,                 1.0795,                0.98637,                 0.9805,                0.99033,                0.84595,                0.98637,                 0.9805,                 0.9892,                0.79942,                0.60416,                 0.9566,                0.59625,                0.99509,             0.00025007,             0.00025007,             0.00025007
                     53,                0.69358,                 1.0138,                0.62195,                 1.1065,                0.97922,                0.97391,                0.99023,                0.85085,                0.97922,                0.97391,                0.98925,                0.79944,                 0.6182,                0.95899,                0.57938,                 1.0058,              0.0002265,              0.0002265,              0.0002265
                     54,                0.68691,                0.99291,                0.60665,                 1.0949,                0.96723,                0.98568,                0.98899,                 0.8478,                0.96333,                0.98176,                0.98314,                0.79908,                0.62114,                0.96481,                0.56239,                 1.0097,             0.00020292,             0.00020292,             0.00020292
                     55,                0.67268,                0.94253,                0.57072,                 1.0723,                0.97154,                0.98089,                 0.9878,                0.85149,                0.96763,                0.97697,                0.98141,                0.80018,                0.60358,                0.96551,                0.55571,                0.99942,             0.00017934,             0.00017934,             0.00017934
                     56,                 0.6256,                0.96059,                0.54685,                 1.0426,                0.97014,                 0.9807,                0.98832,                0.85835,                0.96623,                0.97678,                0.98217,                0.80369,                0.57574,                0.96257,                0.54143,                0.98057,             0.00015576,             0.00015576,             0.00015576
                     57,                0.64376,                0.93564,                0.58686,                 1.0648,                0.96507,                0.99047,                0.98869,                0.86595,                0.96507,                0.99047,                0.98792,                0.81107,                0.56047,                0.94772,                0.53745,                0.96925,             0.00013218,             0.00013218,             0.00013218
                     58,                0.59903,                0.92888,                0.52416,                 1.0132,                0.96528,                0.99351,                 0.9893,                0.86793,                0.96528,                0.99351,                0.98839,                0.81147,                0.55562,                0.93647,                0.53807,                0.96558,              0.0001086,              0.0001086,              0.0001086
                     59,                0.63478,                0.93618,                0.56068,                 1.0671,                  0.968,                0.99264,                0.98945,                0.87312,                  0.968,                0.99264,                0.98842,                0.81503,                0.55036,                 0.9093,                0.52135,                0.96556,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.62188,                0.92664,                0.54226,                 1.0831,                0.97211,                0.99337,                0.99085,                0.87322,                0.97211,                0.99337,                0.98985,                  0.819,                 0.5399,                 0.8936,                0.50423,                0.96184,             6.1447e-05,             6.1447e-05,             6.1447e-05
